N,Time,hits:Mean,hits:StdDev,hits:NormalizedMean,swaps:Mean,swaps:StdDev,swaps:NormalizedMean,compares:Mean,compares:StdDev,compares:NormalizedMean,fixes:Mean,fixes:StdDev,fixes:NormalizedMean
10000,263.4287416,411597.8,17621.83014785922,4.4688663325879565,64000.2,3865.5825641163065,0.6948733425176123,159316.8,4902.688788817826,1.7297601778620997,2.84035562E7,2273152.2837219154,308.3876931022224
20000,930.1212251999999,858028.4,30510.874661995516,4.331950716595148,132866.4,7161.856591694642,0.6708061139834269,333794.0,5735.103939773018,1.6852346116925274,1.071917288E8,5301434.078084133,541.1817212439969
40000,6021.12425,1936224.2,83961.68278065894,4.568016754301872,301206.0,17420.671077774245,0.7106171147412833,746156.4,34150.14994169133,1.7603617063197379,4.833254566E8,7.727613912957084E7,1140.2805437146185
80000,22058.781325,4157034.2,136692.46915964317,4.602651131564031,648538.8,23442.42835885395,0.7180594861796371,1592240.0,53503.08185889856,1.7629215650238124,1.1084182076E9,1.499386387703307E9,1227.236070719917
160000,72146.5680082,9121877.8,406238.25914032274,4.757746274032363,1437622.8,99931.46610632709,0.7498285627290439,3430107.2,34165.90812140078,1.7890592384751725,-1.5535500116E9,2.9367445107170683E8,-810.2933344725177
