N,Time,hits:Mean,hits:StdDev,hits:NormalizedMean,swaps:Mean,swaps:StdDev,swaps:NormalizedMean,compares:Mean,compares:StdDev,compares:NormalizedMean,fixes:Mean,fixes:StdDev,fixes:NormalizedMean
10000,386.37055,967718.4,442.7864497,10.50686903,124223.6,71.02281324,1.3487406,235412,81.74350127,2.555953314,7.54E+07,230954.0316,818.6809016
20000,1738.65645,2095556.4,618.778668,10.57989112,268464.6,113.0691824,1.355404339,510849,94.55157323,2.579136881,3.03E+08,307904.8594,1528.153787
40000,7240.264483,4509526,946.3487729,10.63905219,576670.6,160.8534737,1.3605041,1101421.8,160.9091669,2.598517897,1.21E+09,1211962.816,2853.271534
80000,33774.65812,9661624.4,1459.331025,10.69731071,1233814.6,241.2198997,1.36607444,2363183,259.4417083,2.616506477,5.50E+08,6020127.672,608.4739205
160000,129859.9997,2.06E+07,1975.934007,10.745093,2627287,283.4424104,1.370328041,5046041,441.1689019,2.631890417,-2.09E+09,1.06E+07,-1089.190588
